BIN-ID	COUNTS	RECURSIVE-COUNTS
17.6.1.1	13	13
17.6.1.2	1	1
17.6.1.3	2	2
17.6.1.4	2	2
17.6.1.11	22	22
17.6.1.12	1	1
17.6.1.13	10	10
17.6.1.1001	0	0
17.6.2	7	7
17.6.3	22	22
17.7	0	75
17.7.1	5	65
17.7.1.1	0	0
17.7.1.2	37	37
17.7.1.3	7	7
17.7.1.4	1	1
17.7.1.5	15	15
17.7.1.10	0	0
17.7.1.1001	0	0
17.7.1.1002	0	0
17.7.2	8	8
17.7.3	2	2
17.8	0	170
17.8.1	170	170
17.8.1.1	0	0
17.8.1.1.2	0	0
17.8.1.1.3	0	0
17.8.1.1.4	0	0
17.8.1.1.5	0	0
17.8.1.1.6	0	0
17.8.1.1.7	0	0
17.8.2	0	0
17.8.3	0	0
17.8.1001	0	0
17.8.1002	0	0
18	31	132
18.1	8	8
18.1.1	0	0
18.2	6	13
18.2.1	3	3
18.2.2	4	4
18.3	12	24
18.3.1	8	8
18.3.2	4	4
18.4	0	15
18.4.1	0	0
18.4.2	4	4
18.4.3	0	0
18.4.4	1	1
18.4.5	8	8
18.4.6	0	0
18.4.7	0	0
18.4.8	2	2
18.4.9	0	0
18.5	1	13
18.5.1	0	0
18.5.1.1	0	0
